[22:11:35] SUBIDA N6B — mundos {'D': {'ancho': 11, 'alto': 11, 'cierre': 5, 'd_ini': 4, 'metas2': True, 'min_salidas': 3, 'margen': 2, 'p_max': 18}, 'P': {'ancho': 11, 'alto': 11, 'cierre': 5, 'd_ini': 4}} r_vis=1 T=100000 n_tel=40 semillas 14621-14640 brazos 11 pool=6 pid=27080 mundo_subida_b 214d5763758473fa
[22:11:35]   tronco v14.2 (inspect, difiere del defecto del mundo): {'eta_s': 0.15, 'clip_s': 10.0, 'mask_rel': 2, 'puerta_pat': 5, 'desambiguar': 1}
[22:11:35]   regla 14 CIEGO   vs subida_n6 CIEGO: 14 campos; difieren ['clip_s', 'desambiguar', 'eta_s', 'mask_rel', 'prueba.margen', 'prueba.metas2', 'prueba.min_salidas', 'prueba.p_max', 'puerta_pat'] (todas declaradas)
[22:22:42]   127/220  BARAJADO s14627  41.2s
[22:22:45]   128/220  BARAJADO s14628  40.9s
[22:22:53]   129/220  BARAJADO s14629  47.2s
[22:22:53]   130/220  BARAJADO s14630  44.5s
[22:22:55]   131/220  BARAJADO s14632  38.5s
[22:22:57]   132/220  BARAJADO s14631  39.9s
[22:23:28]   133/220  BARAJADO s14634  42.3s
[22:23:28]   134/220  BARAJADO s14633  45.8s
[22:23:42]   135/220  BARAJADO s14636  48.6s
[22:23:44]   136/220  BARAJADO s14635  51.8s
[22:23:45]   137/220  BARAJADO s14637  49.2s
[22:23:47]   138/220  BARAJADO s14638  50.6s
[22:24:13]   139/220  BARAJADO s14639  45.3s
[22:24:14]   140/220  BARAJADO s14640  45.6s
[22:24:32]   141/220  INVERTIDO s14622  47.9s
[22:24:33]   142/220  INVERTIDO s14621  51.1s
[22:24:34]   143/220  INVERTIDO s14623  49.0s
[22:24:36]   144/220  INVERTIDO s14624  48.3s
[22:25:03]   145/220  INVERTIDO s14625  50.3s
[22:25:03]   146/220  INVERTIDO s14626  49.8s
[22:25:20]   147/220  INVERTIDO s14628  46.7s
[22:25:21]   148/220  INVERTIDO s14627  48.4s
[22:25:26]   149/220  INVERTIDO s14630  50.6s
[22:25:27]   150/220  INVERTIDO s14629  53.8s
[22:25:47]   151/220  INVERTIDO s14632  44.1s
[22:25:50]   152/220  INVERTIDO s14631  47.2s
[22:26:06]   153/220  INVERTIDO s14634  45.6s
[22:26:08]   154/220  INVERTIDO s14633  48.5s
[22:26:17]   155/220  INVERTIDO s14636  49.5s
[22:26:20]   156/220  INVERTIDO s14635  53.5s
[22:26:37]   157/220  INVERTIDO s14637  49.1s
[22:26:43]   158/220  INVERTIDO s14638  52.1s
[22:26:52]   159/220  INVERTIDO s14639  45.8s
[22:26:54]   160/220  INVERTIDO s14640  46.2s
[22:27:08]   161/220  PLACEBO s14622  48.1s
[22:27:08]   162/220  PLACEBO s14621  51.2s
[22:27:25]   163/220  PLACEBO s14623  48.5s
[22:27:31]   164/220  PLACEBO s14624  48.6s
[22:27:42]   165/220  PLACEBO s14625  49.5s
[22:27:44]   166/220  PLACEBO s14626  50.1s
[22:27:56]   167/220  PLACEBO s14628  47.6s
[22:27:57]   168/220  PLACEBO s14627  48.7s
[22:28:19]   169/220  PLACEBO s14629  54.0s
[22:28:22]   170/220  PLACEBO s14630  51.1s
[22:28:29]   171/220  PLACEBO s14631  47.6s
[22:28:29]   172/220  PLACEBO s14632  44.8s
[22:28:41]   173/220  PLACEBO s14634  44.8s
[22:28:45]   174/220  PLACEBO s14633  49.2s
[22:29:12]   175/220  PLACEBO s14636  49.7s
[22:29:13]   176/220  PLACEBO s14635  53.5s
[22:29:19]   177/220  PLACEBO s14637  49.6s
[22:29:21]   178/220  PLACEBO s14638  52.2s
[22:29:26]   179/220  PLACEBO s14639  44.9s
[22:29:31]   180/220  PLACEBO s14640  46.5s
[22:29:57]   181/220  GFX_13 s14621  45.2s
[22:29:58]   182/220  GFX_13 s14622  45.3s
[22:30:03]   183/220  GFX_13 s14623  44.5s
[22:30:04]   184/220  GFX_13 s14624  42.8s
[22:30:13]   185/220  GFX_13 s14625  46.2s
[22:30:19]   186/220  GFX_13 s14626  47.1s
[22:30:41]   187/220  GFX_13 s14628  43.1s
[22:30:42]   188/220  GFX_13 s14627  45.3s
[22:30:46]   189/220  GFX_13 s14629  42.9s
[22:30:47]   190/220  GFX_13 s14630  42.5s
[22:30:54]   191/220  GFX_13 s14631  41.6s
[22:31:01]   192/220  GFX_13 s14632  42.4s
[22:31:21]   193/220  GFX_13 s14633  40.2s
[22:31:23]   194/220  GFX_13 s14634  40.4s
[22:31:26]   195/220  GFX_13 s14635  40.0s
[22:31:27]   196/220  GFX_13 s14636  39.8s
[22:31:32]   197/220  GFX_13 s14637  37.7s
[22:31:43]   198/220  GFX_13 s14638  42.4s
[22:32:01]   199/220  UNA s14621  34.8s
[22:32:03]   200/220  GFX_13 s14640  40.4s
[22:32:03]   201/220  GFX_13 s14639  42.2s
[22:32:07]   202/220  UNA s14622  40.9s
[22:32:14]   203/220  UNA s14623  42.4s
[22:32:26]   204/220  UNA s14624  42.8s
[22:32:41]   205/220  UNA s14626  37.7s
[22:32:42]   206/220  UNA s14627  38.3s
[22:32:44]   207/220  UNA s14625  43.2s
[22:32:47]   208/220  UNA s14628  39.3s
[22:32:52]   209/220  UNA s14629  37.9s
[22:33:09]   210/220  UNA s14630  42.7s
[22:33:23]   211/220  UNA s14631  42.5s
[22:33:28]   212/220  UNA s14632  45.9s
[22:33:29]   213/220  UNA s14634  42.4s
[22:33:30]   214/220  UNA s14633  45.3s
[22:33:36]   215/220  UNA s14635  44.4s
[22:33:59]   216/220  UNA s14636  50.5s
[22:34:07]   217/220  UNA s14637  44.1s
[22:34:13]   218/220  UNA s14639  43.5s
[22:34:13]   219/220  UNA s14638  45.8s
[22:34:14]   220/220  UNA s14640  44.3s
[22:34:14] --- 220 corridas en 1358.6 s ---
[22:34:14] PUERTAS (una linea por puerta, umbral al lado):
[22:34:14]   [PASA] D-1a cruza (elige la del otro lado y rodea): limpio GFX >=   1.0  (umbral 0.6) CIEGO 0.0/0.0  GF 0.975/0.725  GFV 0.95/0.85  GFVX 1.0/0.95  BRUJULA 0.0/0.0  BARAJADO 0.0/0.0  GFX_13 1.0/1.0
[22:34:14]   [PASA] D-1b desvia (elige la del mismo lado): limpio GFX >=         1.0  (umbral 0.6) a_la_otra(desvia) BRUJULA 1.0 [la trampa funciona si es alto]
[22:34:14]   [PASA] D-2 balanceada: J = limpio(cruza)+limpio(desvia)-1 >=        1.0  (umbral 0.5) 
[22:34:14]   [PASA] D-3 es el VENENO recordado: media GFX - BRUJULA >=           0.975  (umbral 0.25) pisa BRUJULA 1.0/1.0
[22:34:14]   [PASA] D-4 es el mapa: media GFX - max(CIEGO, BARAJADO) >=          0.975  (umbral 0.25) CIEGO 0.0 BARAJADO 0.0
[22:34:14]   [PASA] D-5 no es huida: huye(cruza) GFX <=                          0.0  (umbral 0.2) 
[22:34:14]   [CAE ] R-4 no regresion: comida GFX/CIEGO >=                        0.65  (umbral 0.9) GFX 711.5 CIEGO 1094.0 GF 1952.0
[22:34:14]   [PASA] R-5 muertes GFX/max(CIEGO,1) <=                              0.1  (umbral 1.25) GFX 1.0 CIEGO 10.0
[22:34:14]   [PASA] C1 INVERTIDO decisivo: media limpio <=                       0.0  (umbral 0.2) 
[22:34:14]   [PASA] PLACEBO validez: |GFX - PLACEBO| (media) <= (si no, NO se lee) 0.0  (umbral 0.15) 
[22:34:14]   [PASA] V1 memoria COMPLETA: las 2 comidas y las 2 murallas en M de GFX (20/20) 1.0  (umbral 1.0) GF 7/20  GFV 9/20  GFVX 20/20  GFX_13 20/20  UNA 20/20
[22:34:14]   [PASA] PORT-a v14.2 en el mundo de subida_n6: limpio(rodeo) UNA >=  1.0  (umbral 0.6) 
[22:34:14]   [PASA] PORT-b v14.2 en el mundo de subida_n6: J UNA >=              1.0  (umbral 0.5) 
[22:34:14]   pareado (reportado): GFX > BRUJULA en 20/20; GFX > GF en 13/20
[22:34:14] RESUMEN 12/13 principales -> NUCLEO PASA, cae alguna principal
[22:34:14] JSON experimentos\subida_n6b\datos\subida_b_s14621-14640_20260923_221135.json  sha 58d0e584f3496e4d
[22:34:14] VEREDICTO POR LA LETRA (esta corrida sola): NUCLEO PASA EN LA SERIE, caen ['R-4'] -> a lo sumo HAY ALGO MODESTO; falta la replica
